sam,lane,ct,conc
X208,1,7.1293,0.0625
X216,1,8.09245,0.0625
M7,1,6.24756,0.0625
M37,1,5.83853,0.0625
O151,1,7.3056,0.0625
O159,1,7.11704,0.0625
O167,1,6.7049,0.0625
X23,1,7.10199,0.0625
X31,1,5.21514,0.0625
X39,1,6.43333,0.0625
X209,1,7.42571,0.0625
X217,1,6.84233,0.0625
M8,1,6.25286,0.0625
AP2,1,11.2178,0.0625
AV1,1,11.2344,0.0625
AW2,1,10.3558,0.0625
AX1,1,10.2512,0.0625
AZ2,1,10.5746,0.0625
CP2,1,11.6923,0.0625
CT2,1,12.2491,0.0625
CV1,1,10,0.0625
CV2,1,9.95578,0.0625
CX1,1,10.635,0.0625
M19,2,7.14091,0.0625
M38,2,6.78032,0.0625
O160,2,8.77663,0.0625
O168,2,7.10189,0.0625
X32,2,7.35494,0.0625
X210,2,7.06295,0.0625
X218,2,6.55662,0.0625
X226,2,5.96902,0.0625
M11,2,6.45724,0.0625
M25,2,9.09974,0.0625
M39,2,6.64849,0.0625
O161,2,5.5351,0.0625
AQ2,2,11,0.0625
AR1,2,10.7118,0.0625
AS2,2,7.39219,0.0625
AV2,2,9.02642,0.0625
AY1,2,9.05396,0.0625
AZ1,2,10.0988,0.0625
CP1,2,11.014,0.0625
CQ2,2,10.8226,0.0625
CR2,2,11.545,0.0625
CW1,2,11.2613,0.0625
O169,3,8.29226,0.0625
X25,3,8.66439,0.0625
X37,3,8.78949,0.0625
X42,3,8.68088,0.0625
X211,3,8.81323,0.0625
X219,3,5.56113,0.0625
X46,3,9.04825,0.0625
XM12,3,6.30429,0.0625
XM40,3,8.38239,0.0625
O154,3,7.1178,0.0625
O162,3,7.00879,0.0625
O179,3,6.50495,0.0625
X26,3,7.77363,0.0625
X29,3,8.51169,0.0625
X43,3,8.1166,0.0625
AT1,3,10.6926,0.0625
AW1,3,11.4044,0.0625
AX2,3,11.8208,0.0625
CR1,3,12.5881,0.0625
CW2,3,12.2342,0.0625
CX2,3,12.1709,0.0625
X212,4,8.89659,0.0625
X220,4,6.92398,0.0625
O152,4,7.93177,0.0625
M13,4,7.1845,0.0625
M27,4,8.84052,0.0625
M52,4,4.59328,0.0625
O155,4,6.68565,0.0625
O163,4,6.39196,0.0625
O171,4,6.00515,0.0625
X27,4,6.6826,0.0625
X35,4,9.20748,0.0625
X44,4,8.6102,0.0625
X213,4,8.7555,0.0625
X221,4,6.64872,0.0625
M14,4,6.72631,0.0625
AP1,4,11.6571,0.0625
AR2,4,12.3675,0.0625
AS1,4,12.697,0.0625
AT2,4,12.2796,0.0625
CT1,4,11.7092,0.0625
CZ1,4,11.6992,0.0625
M31,5,7.06675,0.0625
M53,5,5.84728,0.0625
O156,5,5.51352,0.0625
O164,5,6.01247,0.0625
O172,5,5.61718,0.0625
X84,5,5.45133,0.0625
X36,5,7.47635,0.0625
X45,5,6.77144,0.0625
X214,5,6.01429,0.0625
X222,5,7.23068,0.0625
X230,5,7.2865,0.0625
M15,5,6.80561,0.0625
O157,5,7.00857,0.0625
1CCA,5,10.5471,0.0625
1CVA,5,8.18288,0.0625
1CCH,5,10.425,0.0625
1CVH,5,8.02214,0.0625
1DCA,5,9.62126,0.0625
1DVA,5,13.5672,0.0625
1DCH,5,13.4583,0.0625
1DVH,5,9.21791,0.0625
2ACA,5,9.79248,0.0625
2AVA,5,15.7618,0.0625
X215,6,8.09337,0.0625
X223,6,5.07241,0.0625
O173,6,7.41602,0.0625
M16,6,5.63239,0.0625
M17,6,5.41003,0.0625
X24,6,7.38084,0.0625
O158,6,7.4415,0.0625
O166,6,8.10077,0.0625
X30,6,6.62692,0.0625
M32,6,9.13272,0.0625
M55,6,6.52617,0.0625
O153,6,7.70538,0.0625
O165,6,6.98524,0.0625
2ACH,6,10.4257,0.0625
2AVH,6,9.402,0.0625
2CCA,6,8.67422,0.0625
2CVA,6,9.53998,0.0625
2CCH,6,8.33023,0.0625
2CVH,6,9.18368,0.0625
2DCA,6,10.1291,0.0625
2DVA,6,9.84377,0.0625
2DCH,6,9.1347,0.0625
2DVH,6,10.3984,0.0625
KI,7,5.35334,0.0625
MI,7,6.70991,0.0625
OI,7,5.93409,0.0625
ORPm,7,9.65077,0.0625
S1,7,7.67652,0.0625
SDBm,7,8.48113,0.0625
